profession,field_of_activity,average salary
Автомеханик,Транспорт,55 780
Автоэлектрик,Транспорт,45 000
Водитель,Транспорт,48 000
Железнодорожник,Транспорт,37 500
Крановщик,Транспорт,30 000
Машинист,Транспорт,39 000
Машинист метрополитена,Транспорт,60 000
Машинист электропоезда,Транспорт,35 000
Помощник машиниста,Транспорт,35 000
Проводник поезда,Транспорт,25 000
Тракторист,Транспорт,20 000
Арматурщик,Строительство и архитектура,27 000
Архитектор,Строительство и архитектура,48 000
Бетонщик,Строительство и архитектура,40 000
Девелопер,Строительство и архитектура,70 000
Каменщик,Строительство и архитектура,45 000
Маляр,Строительство и архитектура,45 000
Оценщик,Строительство и архитектура,43 000
Плиточник-облицовщик,Строительство и архитектура,35 000
Плотник,Строительство и архитектура,20 000
Сметчик,Строительство и архитектура,45 000
Специалист по недвижимости,Строительство и архитектура,55 000
Строитель,Строительство и архитектура,30 000
Стропальщик,Строительство и архитектура,32 000
Урбанист,Строительство и архитектура,50 000
Штукатур,Строительство и архитектура,45 000
Администратор,"Секретариат, делопроизводство, АХО",20 000
Архивариус,"Секретариат, делопроизводство, АХО",15 000
Делопроизводитель,"Секретариат, делопроизводство, АХО",25 000
Документовед,"Секретариат, делопроизводство, АХО",20 000
Секретарь,"Секретариат, делопроизводство, АХО",25 000
Администратор гостиницы,Сервис и туризм,40 000
Аниматор,Сервис и туризм,20 000
Гид,Сервис и туризм,30 000
Гид-переводчик,Сервис и туризм,30 000
Гостиничный сервис,Сервис и туризм,27 000
Метрдотель,Сервис и туризм,30 000
Официант,Сервис и туризм,27 250
Специалист службы сервиса,Сервис и туризм,35 000
Туризм,Сервис и туризм,35 000
Хостес,Сервис и туризм,30 000
Экскурсовод,Сервис и туризм,40 000
Ветеринар,Связанные с животными,40 000
Ветеринарный фельдшер,Связанные с животными,18 800
Грумер,Связанные с животными,20 000
Дрессировщик,Связанные с животными,30 000
Егерь,Связанные с животными,16 383
Зоолог,Связанные с животными,17 500
Зоотехник,Связанные с животными,20 000
Кинолог,Связанные с животными,27 000
Букмекер,Спорт,35 000
Специалист по адаптивной физической культуре,Спорт,20 100
Спортивный менеджер,Спорт,90 000
Тренер,Спорт,35 000
Тренер по футболу,Спорт,20 000
Фитнес-тренер,Спорт,26 500
Футболист,Спорт,6 700 000
Госслужащий,Политика и госслужба,35 000
Дипломат,Политика и госслужба,108 000
Лоббист,Политика и госслужба,44 600
Политолог,Политика и госслужба,38 800
Политтехнолог,Политика и госслужба,74 000
Пресс-атташе,Политика и госслужба,45 000
Бурильщик,Технические,85 000
Геодезист,Технические,60 000
Киповец,Технические,43 000
Контролер ОТК,Технические,32 000
Литейщик,Технические,32 000
Металлург,Технические,30 000
Метролог,Технические,37 000
Механик,Технические,40 000
Монтажник,Технические,40 000
Наладчик,Технические,40 000
Нанотехнолог,Технические,30 000
Обработка металла,Технические,37 000
Профессии на заводе,Технические,45 000
"Профессии, связанные с электричеством",Технические,27 000
Проходчик,Технические,72 000
Сантехник,Технические,40 000
Сварщик,Технические,70 000
Связанные с машиностроением,Технические,55 000
Связист,Технические,40 000
Слесарь КИПиА,Технические,50 000
Слесарь МСР,Технические,32 000
Слесарь-ремонтник,Технические,27 000
Станочник,Технические,30 000
Столяр,Технические,40 000
Телекоммуникации,Технические,24 000
Термист,Технические,33 000
Техник,Технические,25 000
Техник-технолог,Технические,40 000
Технолог,Технические,25 000
Токарь,Технические,40 000
Фрезеровщик,Технические,45 000
Химик-технолог,Технические,40 000
Шахтер,Технические,65 000
Электрик,Технические,16 000
Электромонтажник,Технические,50 000
Энергетик,Технические,45 000
Журналист,СМИ и издательство,32 400
Интервьюер,СМИ и издательство,15 000
Копирайтер,СМИ и издательство,40 000
Корректор,СМИ и издательство,27 000
Корреспондент,СМИ и издательство,23 000
Печатник,СМИ и издательство,28 000
Редактор,СМИ и издательство,33 500
Репортер,СМИ и издательство,25 000
Спортивный журналист,СМИ и издательство,36 400
Бариста,Пищевая промышленность,25 800
Бармен,Пищевая промышленность,30 000
Дегустатор,Пищевая промышленность,38 000
Пекарь,Пищевая промышленность,25 000
Пищевой технолог,Пищевая промышленность,40 000
Повар,Пищевая промышленность,35 000
Повар-кондитер,Пищевая промышленность,30 000
Ресторатор,Пищевая промышленность,80 000
Сомелье,Пищевая промышленность,46 000
Технолог общественного питания,Пищевая промышленность,40 000
Воспитатель детского сада,Педагогические,15 000
Конфликтолог,Педагогические,37 000
Коуч,Педагогические,51 000
Логопед,Педагогические,18 000
Медиатор,Педагогические,47 000
Методист,Педагогические,26 896
Преподаватель вуза,Педагогические,15 000
Психолог,Педагогические,30 000
Тьютор,Педагогические,33 000
Учитель,Педагогические,25 000
Учитель английского языка,Педагогические,18 000
Учитель иностранного языка,Педагогические,25 000
Учитель математики,Педагогические,44 000
Учитель младших классов,Педагогические,28 000
Учитель физкультуры,Педагогические,17 000
Антрополог,Наука,42 000
Археолог,Наука,60 000
Астроном,Наука,30 000
Биолог,Наука,30 000
Биохимик,Наука,56 000
Ботаник,Наука,20 000
Геммолог,Наука,45 000
Геолог,Наука,60 000
Гидролог,Наука,40 000
Искусствовед,Наука,32 000
Историк,Наука,45 000
Картограф,Наука,45 000
Культуролог,Наука,17 000
Лаборант,Наука,40 000
Метеоролог,Наука,20 000
Палеонтолог,Наука,40 000
Социолог,Наука,22 000
Ученый,Наука,35 000
Физик,Наука,65 000
Физик-ядерщик,Наука,30 000
Философ,Наука,28 000
Химик,Наука,30 000
Химик-аналитик,Наука,42 000
Эколог,Наука,35 000
Этнограф,Наука,40 000
Водолаз,Морские,38 500
Инженер-кораблестроитель,Морские,50 000
Матрос,Морские,21 400
Моряк,Морские,36 300
Моторист-рулевой,Морские,39 100
Event-менеджер,Менеджмент и управление,45 000
GR-менеджер,Менеджмент и управление,90 000
IT-директор,Менеджмент и управление,200 000
Антикризисный управляющий,Менеджмент и управление,350 000
Арт-директор,Менеджмент и управление,80 000
Директор по персоналу,Менеджмент и управление,80 000
Коммерческий директор,Менеджмент и управление,300 000
Креативный директор,Менеджмент и управление,50 000
Менеджер,Менеджмент и управление,27 000
